"dataset","variable","missing_count","missing_percentage"
"order_level_analysis","order_id",0,0
"order_level_analysis","customer_id",0,0
"order_level_analysis","order_status",0,0
"order_level_analysis","order_purchase_timestamp",0,0
"order_level_analysis","order_approved_at",160,0.1609
"order_level_analysis","order_delivered_carrier_date",1783,1.793
"order_level_analysis","order_delivered_customer_date",2965,2.9817
"order_level_analysis","order_estimated_delivery_date",0,0
"order_level_analysis","customer_city",0,0
"order_level_analysis","customer_state",0,0
"order_level_analysis","total_item_price",0,0
"order_level_analysis","total_freight_value",0,0
"order_level_analysis","item_count",0,0
"order_level_analysis","unique_product_count",0,0
"order_level_analysis","seller_count",0,0
"order_level_analysis","single_seller_order",0,0
"order_level_analysis","total_payment_value",0,0
"order_level_analysis","maximum_installments",0,0
"order_level_analysis","payment_method_count",0,0
"order_level_analysis","primary_payment_type",0,0
"order_level_analysis","purchase_timestamp",0,0
"order_level_analysis","delivered_customer_timestamp",2965,2.9817
"order_level_analysis","estimated_delivery_timestamp",0,0
"order_level_analysis","purchase_date",0,0
"order_level_analysis","purchase_month",0,0
"order_level_analysis","actual_delivery_date",2965,2.9817
"order_level_analysis","estimated_delivery_date",0,0
"order_level_analysis","actual_delivery_days",2965,2.9817
"order_level_analysis","estimated_delivery_days",0,0
"order_level_analysis","delivery_delay_days",2965,2.9817
"order_level_analysis","late_delivery",2965,2.9817
"order_level_analysis","completed_order",0,0
"order_level_analysis","canceled_or_unavailable",0,0
"order_level_analysis","freight_to_item_ratio",0,0
"order_level_analysis","purchase_ts",0,0
"order_level_analysis","approved_ts",160,0.1609
"order_level_analysis","delivered_ts",2965,2.9817
"order_level_analysis","estimated_ts",0,0
"order_level_analysis","payment_difference",0,0
