"metric","value"
"total_sellers_in_dataset","3095"
"sellers_eligible","804"
"sellers_excluded_total","2291"
"sellers_excluded_insufficient_seller_order_records","2277"
"sellers_excluded_insufficient_valid_delivered_orders","14"
"minimum_seller_order_threshold","20"
"minimum_valid_delivered_order_threshold","20"
"eligibility_rule","seller_order_count >= 20 AND valid_delivery_count >= 20"
"prioritization_formula","priority_score = 40% * late_delivery_rate_norm + 25% * canceled_or_unavailable_rate_norm + 20% * positive_median_delay_norm + 15% * log1p(order_volume)_norm"
"score_min","0"
"score_max","0.517947306799947"
"multiseller_handling_note_1","Analysis uses seller-order grain (one row per seller_id + order_id); 100010 seller-order records span 98666 unique orders."
"multiseller_handling_note_2","Multi-seller orders affect 2622 seller-order rows across 1278 orders; delivery outcomes are order-level and shared across sellers fulfilling the same order."
"multiseller_handling_note_3","The score does not assign full multi-seller order blame to one seller; each seller is evaluated on their seller-order records with shared delivery outcomes."
