"rank","seller_id","priority_score","late_delivery_rate","late_rate_norm","score_late_component","canceled_or_unavailable_rate","canceled_rate_norm","score_cancel_component","median_delivery_delay_days","positive_delay_norm","score_delay_component","seller_order_count","volume_exposure_norm","score_volume_component"
1,"821fb029fc6e495ca4f08a35d51e53a5",0.517947306799947,0.375,1,0.4,0.0357142857142857,0.428571428571429,0.107142857142857,0,0,0,28,0.0720296643806015,0.0108044496570902
2,"ede0c03645598cdfc63ca8237acbe73d",0.464277744381713,0.348837209302326,0.930232558139535,0.372093023255814,0.0217391304347826,0.260869565217391,0.0652173913043478,0,0,0,46,0.179782198810342,0.0269673298215513
3,"ad781527c93d00d89a11eecd9dcad7c1",0.430535641639151,0.315789473684211,0.842105263157895,0.336842105263158,0.0227272727272727,0.272727272727273,0.0681818181818182,0,0,0,44,0.170078121294499,0.0255117181941748
4,"835f0f7810c76831d6c7d24c7a646d4d",0.423852266534723,0.30952380952381,0.825396825396825,0.33015873015873,0.0227272727272727,0.272727272727273,0.0681818181818182,0,0,0,44,0.170078121294499,0.0255117181941748
5,"f76a3b1349b6df1ee875d1f3fa4340f0",0.40583626915695,0.375,1,0.4,0,0,0,0,0,0,24,0.0389084610463321,0.00583626915694982
6,"66e0557ecc2b4dbea057e93f215f68d8",0.395318250251442,0.266666666666667,0.711111111111111,0.284444444444444,0.032258064516129,0.387096774193548,0.0967741935483871,0,0,0,31,0.0939974150574042,0.0140996122586106
7,"2a1348e9addc1af5aaa619b1a3679d6b",0.377570212204611,0.270833333333333,0.722222222222222,0.288888888888889,0.0192307692307692,0.230769230769231,0.0576923076923077,0,0,0,52,0.206593437489426,0.0309890156234139
8,"54965bbe3e4f07ae045b90b0b8541f52",0.365811466036015,0.301369863013699,0.80365296803653,0.321461187214612,0,0,0,0,0,0,78,0.295668525476024,0.0443502788214036
9,"bc47d5d1490df2b36add65d733eafaba",0.357423570744251,0.0952380952380952,0.253968253968254,0.101587301587302,0.0833333333333333,1,0.25,0,0,0,24,0.0389084610463321,0.00583626915694982
10,"06a2c3af7b3aee5d69171b0e14f0ee87",0.34484098433815,0.231362467866324,0.616966580976864,0.246786632390745,0,0,0,0,0,0,392,0.653695679649362,0.0980543519474043
11,"b17b679f4f5ce2e03ce6968c62648246",0.333922984287895,0.18,0.48,0.192,0.0363636363636364,0.436363636363636,0.109090909090909,0,0,0,55,0.218880501313237,0.0328320751969856
12,"a49928bcdf77c55c6d6e05e09a9b4ca5",0.329682154292052,0.260416666666667,0.694444444444445,0.277777777777778,0,0,0,0,0,0,98,0.346029176761826,0.0519043765142739
13,"23d7c96d4a1160db1c726b248601b25a",0.329426032965751,0.12,0.32,0.128,0.0566037735849057,0.679245283018868,0.169811320754717,0,0,0,53,0.210764748073557,0.0316147122110336
14,"6973a06f484aacf400ece213dbf3d946",0.325386455391792,0.168539325842697,0.449438202247191,0.179775280898876,0.0315789473684211,0.378947368421053,0.0947368421052632,0,0,0,95,0.339162215917686,0.0508743323876528
15,"054694fa03fe82cec4b7551487331d74",0.321557201364865,0.3,0.8,0.32,0,0,0,0,0,0,21,0.0103813424324359,0.00155720136486538
16,"7f152321c60a266edc53af1925ef96c1",0.32,0.3,0.8,0.32,0,0,0,0,0,0,20,0,0
17,"3fd1e727ba94cfe122d165e176ce7967",0.314266506567678,0.2,0.533333333333333,0.213333333333333,0.027027027027027,0.324324324324324,0.0810810810810811,0,0,0,37,0.132347281021757,0.0198520921532635
18,"4e5725ba188db8252977a4f0227bd462",0.307807075217091,0.285714285714286,0.761904761904762,0.304761904761905,0,0,0,0,0,0,22,0.0203011363679097,0.00304517045518645
19,"beadbee30901a7f61d031b6b686095ad",0.304487527961741,0.25,0.666666666666667,0.266666666666667,0,0,0,0,0,0,64,0.252139075300494,0.037820861295074
20,"88460e8ebdecbfecb5f9601833981930",0.303005217303009,0.195121951219512,0.520325203252033,0.208130081300813,0.00403225806451613,0.0483870967741935,0.0120967741935484,0,0,0,248,0.551855745390981,0.0827783618086472
21,"ef990a83bbea832f36ebe81376335aa8",0.297627683527805,0.255813953488372,0.682170542635659,0.272868217054264,0,0,0,0,0,0,43,0.165063109823609,0.0247594664735413
22,"a416b6a846a11724393025641d4edd5e",0.297069122187854,0.127388535031847,0.339702760084926,0.13588110403397,0.0308641975308642,0.37037037037037,0.0925925925925926,0,0,0,162,0.457302837075274,0.0685954255612911
23,"1ca7077d890b907f89be8c954a02686a",0.294246016911479,0.222222222222222,0.592592592592593,0.237037037037037,0,0,0,0,0,0,115,0.381393199162947,0.057208979874442
24,"850913d59ce317156b00f3705f1c3edb",0.292787702362243,0.172413793103448,0.459770114942529,0.183908045977012,0.03125,0.375,0.09375,0,0,0,32,0.100864375901544,0.0151296563852317
25,"e5a3438891c0bfdb9394643f95273d8e",0.290309430755422,0.185185185185185,0.493827160493827,0.197530864197531,0.00446428571428571,0.0535714285714286,0.0133928571428571,0,0,0,224,0.529238062766895,0.0793857094150342
26,"cac4c8e7b1ca6252d8f20b2fc1a2e4af",0.288099402306984,0.22972972972973,0.612612612612613,0.245045045045045,0,0,0,0,0,0,75,0.287029048412929,0.0430543572619394
27,"39d54ff918774174706fb065d7f9dc07",0.280359130233542,0.136363636363636,0.363636363636364,0.145454545454545,0.0434782608695652,0.521739130434783,0.130434782608696,0,0,0,23,0.0297986811353401,0.00446980217030101
28,"712e6ed8aa4aa1fa65dab41fed5737e4",0.28026917386863,0.220779220779221,0.588744588744589,0.235497835497835,0,0,0,0,0,0,79,0.298475589138627,0.0447713383707941
29,"cd68562d3f44870c08922d380acae552",0.276326712013674,0.180327868852459,0.480874316939891,0.192349726775956,0.008,0.096,0.024,0,0,0,125,0.399846568251454,0.0599769852377181
30,"6039e27294dc75811c0d8a39069f52c0",0.274857898332111,0.222222222222222,0.592592592592593,0.237037037037037,0,0,0,0,0,0,64,0.252139075300494,0.037820861295074
31,"8160255418d5aaa7dbdc9f4c64ebda44",0.274294858091991,0.165789473684211,0.442105263157895,0.176842105263158,0,0,0,0,0,0,385,0.649685018858887,0.0974527528288331
32,"4aba391bc3b88717ce08eb11e44937b2",0.273412230393902,0.148148148148148,0.395061728395062,0.158024691358025,0.0344827586206897,0.413793103448276,0.103448275862069,0,0,0,29,0.0795950878253904,0.0119392631738086
33,"891071be6ba827b591264c90c2ae8a63",0.270655572808115,0.176470588235294,0.470588235294118,0.188235294117647,0.0108695652173913,0.130434782608696,0.0326086956521739,0,0,0,92,0.332077220255291,0.0498115830382936
34,"c3867b4666c7d76867627c2f7fb22e21",0.269912893167219,0.118421052631579,0.315789473684211,0.126315789473684,0.0204081632653061,0.244897959183673,0.0612244897959184,0,0,0,245,0.54915075931744,0.082372613897616
35,"4a3ca9315b744ce9f8e9374361493884",0.269826177114786,0.110045146726862,0.293453724604966,0.117381489841986,0.00110741971207087,0.0132890365448505,0.00332225913621262,0,0,0,1806,0.994149520910581,0.149122428136587
36,"d20b021d3efdf267a402c402a48ea64b",0.268463708191182,0.174418604651163,0.465116279069767,0.186046511627907,0.0111111111111111,0.133333333333333,0.0333333333333333,0,0,0,90,0.327225754866276,0.0490838632299414
37,"1dfe5347016252a7884b694d4f10f5c4",0.268223868031532,0.25,0.666666666666667,0.266666666666667,0,0,0,0,0,0,21,0.0103813424324359,0.00155720136486538
38,"ff69aa92bb6b1bf9b8b7a51c2ed9cf8b",0.266666666666667,0.25,0.666666666666667,0.266666666666667,0,0,0,0,0,0,20,0,0
39,"bacb1f0ed56ad24198f5810d2b3fe9a5",0.266345809828004,0.0263157894736842,0.0701754385964912,0.0280701754385965,0.0714285714285714,0.857142857142857,0.214285714285714,0,0,0,42,0.159932800691289,0.0239899201036934
40,"d13e50eaa47b4cbe9eb81465865d8cfc",0.265593839659761,0.212121212121212,0.565656565656566,0.226262626262626,0,0,0,0,0,0,67,0.262208089314233,0.039331213397135
41,"ea566164622c6b439516ab18062c42cd",0.264368069975492,0.22,0.586666666666667,0.234666666666667,0,0,0,0,0,0,50,0.198009355392169,0.0297014033088253
42,"71039d19d4303bf9054d69e9a9236699",0.261851781000191,0.228571428571429,0.609523809523809,0.243809523809524,0,0,0,0,0,0,35,0.120281714604449,0.0180422571906673
