"rank","seller_id","seller_order_count","valid_delivery_count","late_delivery_count","completed_order_count","canceled_or_unavailable_count","late_delivery_rate","canceled_or_unavailable_rate","median_delivery_delay_days","median_seller_freight_value","total_item_value","priority_score"
1,"821fb029fc6e495ca4f08a35d51e53a5",28,24,9,24,1,0.375,0.0357142857142857,0,55.25,19187.42,0.517947306799947
2,"ede0c03645598cdfc63ca8237acbe73d",46,43,15,43,1,0.348837209302326,0.0217391304347826,0,13.095,2518.37,0.464277744381713
3,"ad781527c93d00d89a11eecd9dcad7c1",44,38,12,38,1,0.315789473684211,0.0227272727272727,0,56.61,6899.57,0.430535641639151
4,"835f0f7810c76831d6c7d24c7a646d4d",44,42,13,42,1,0.30952380952381,0.0227272727272727,0,17.74,5130,0.423852266534723
5,"f76a3b1349b6df1ee875d1f3fa4340f0",24,24,9,24,0,0.375,0,0,22.995,4160.79,0.40583626915695
6,"66e0557ecc2b4dbea057e93f215f68d8",31,30,8,30,1,0.266666666666667,0.032258064516129,0,16.82,12480,0.395318250251442
7,"2a1348e9addc1af5aaa619b1a3679d6b",52,48,13,48,1,0.270833333333333,0.0192307692307692,0,14.52,2843,0.377570212204611
8,"54965bbe3e4f07ae045b90b0b8541f52",78,73,22,73,0,0.301369863013699,0,0,26.83,10961.3,0.365811466036015
9,"bc47d5d1490df2b36add65d733eafaba",24,21,2,21,2,0.0952380952380952,0.0833333333333333,0,15.27,1004.8,0.357423570744251
10,"06a2c3af7b3aee5d69171b0e14f0ee87",392,389,90,389,0,0.231362467866324,0,0,27.51,36408.95,0.34484098433815
11,"b17b679f4f5ce2e03ce6968c62648246",55,50,9,50,2,0.18,0.0363636363636364,0,16.05,4084.75,0.333922984287895
12,"a49928bcdf77c55c6d6e05e09a9b4ca5",98,96,25,96,0,0.260416666666667,0,0,16.81,8816.7,0.329682154292052
13,"23d7c96d4a1160db1c726b248601b25a",53,50,6,50,3,0.12,0.0566037735849057,0,20.05,11766.94,0.329426032965751
14,"6973a06f484aacf400ece213dbf3d946",95,89,15,89,3,0.168539325842697,0.0315789473684211,0,15.34,11011.05,0.325386455391792
15,"054694fa03fe82cec4b7551487331d74",21,20,6,20,0,0.3,0,0,27.31,9983.1,0.321557201364865
16,"7f152321c60a266edc53af1925ef96c1",20,20,6,20,0,0.3,0,0,21.34,3919.8,0.32
17,"3fd1e727ba94cfe122d165e176ce7967",37,35,7,35,1,0.2,0.027027027027027,0,15.1,2805.2,0.314266506567678
18,"4e5725ba188db8252977a4f0227bd462",22,21,6,21,0,0.285714285714286,0,0,17.51,1930.59,0.307807075217091
19,"beadbee30901a7f61d031b6b686095ad",64,64,16,64,0,0.25,0,0,15.35,4373.98,0.304487527961741
20,"88460e8ebdecbfecb5f9601833981930",248,246,48,246,1,0.195121951219512,0.00403225806451613,0,15.27,31546.55,0.303005217303009
21,"ef990a83bbea832f36ebe81376335aa8",43,43,11,43,0,0.255813953488372,0,0,18.33,4642.59,0.297627683527805
22,"a416b6a846a11724393025641d4edd5e",162,157,20,157,5,0.127388535031847,0.0308641975308642,0,16.82,25670.72,0.297069122187854
23,"1ca7077d890b907f89be8c954a02686a",115,108,24,108,0,0.222222222222222,0,0,14.24,13341.57,0.294246016911479
24,"850913d59ce317156b00f3705f1c3edb",32,29,5,29,1,0.172413793103448,0.03125,0,11.06,2690,0.292787702362243
25,"e5a3438891c0bfdb9394643f95273d8e",224,216,40,216,1,0.185185185185185,0.00446428571428571,0,15.1,7738.35,0.290309430755422
26,"cac4c8e7b1ca6252d8f20b2fc1a2e4af",75,74,17,74,0,0.22972972972973,0,0,17.95,4168.18,0.288099402306984
27,"39d54ff918774174706fb065d7f9dc07",23,22,3,22,1,0.136363636363636,0.0434782608695652,0,15.2,1593.59,0.280359130233542
