"metric","value"
"date_range_start","2016-09"
"date_range_end","2018-08"
"months_analyzed","23"
"incomplete_boundary_months","2016-09"
"low_volume_excluded_months","2016-12"
"excluded_comparison_months","2016-09; 2016-12"
"completed_orders_analyzed","96478"
"total_payment_value_analyzed","15422461.77"
"peak_complete_month_order_count","2017-11"
"peak_complete_order_count","7289"
"lowest_complete_month_order_count","2016-10"
"lowest_complete_order_count","265"
"peak_complete_month_total_payment","2017-11"
"peak_complete_total_payment","1153528.05"
"largest_order_mom_increase_month","2017-02"
"largest_order_mom_increase_pct","120.4"
"largest_order_mom_decrease_month","2017-12"
"largest_order_mom_decrease_pct","-24.3654822335025"
"largest_payment_mom_increase_month","2017-02"
"largest_payment_mom_increase_pct","112.707064065758"
"largest_payment_mom_decrease_month","2017-12"
"largest_payment_mom_decrease_pct","-26.9025863740375"
